# Private-history -> public-history commit-SHA map
#
# This repository was published via a one-time git-filter-repo pass that
# redacted two live Signal account identifiers from an ops log (see the
# 'redact live ACIs' commit). Rewriting changed every subsequent commit
# SHA, but tickets and docs throughout docs/plan/ cite the ORIGINAL SHAs
# as stable anchors. This map resolves them: '<original> <published>'.
# Look up an unknown SHA from any doc with: grep <sha-prefix> docs/history-sha-map.txt
old                                      new
326a715412a097011d6038219be7da16e87fd108 326a715412a097011d6038219be7da16e87fd108
f598c033d740885f9b9aa38a4610196c2dcb44c5 f598c033d740885f9b9aa38a4610196c2dcb44c5
26e528a3476359f2a91313e936b3f079049acf45 26e528a3476359f2a91313e936b3f079049acf45
84bdaaa4df1ab5c04a18fb3e0c9eb4ee829a3b75 84bdaaa4df1ab5c04a18fb3e0c9eb4ee829a3b75
9c74c72a5fb9cab753f77c2be739b42f67010082 9c74c72a5fb9cab753f77c2be739b42f67010082
a43422ee95119844a9f8032648f95e87ae88d029 a43422ee95119844a9f8032648f95e87ae88d029
0ea88d4ef4e72fe9434527e74f6ce6e2cca1eb2c 0ea88d4ef4e72fe9434527e74f6ce6e2cca1eb2c
45364ecc686bfe9444051be6396c6443631b5468 45364ecc686bfe9444051be6396c6443631b5468
04fe2fc23c8ad21fcae2db4790bbf99d661597a7 04fe2fc23c8ad21fcae2db4790bbf99d661597a7
f6de9da31bec30152c7e36e2a81d4601905188d0 f6de9da31bec30152c7e36e2a81d4601905188d0
0214363c3199d051b94f007673c889048c9376e9 0214363c3199d051b94f007673c889048c9376e9
e1f5ed36e411d4f58861af74f9bfe4e037e70504 e1f5ed36e411d4f58861af74f9bfe4e037e70504
f40032079e109e126d53f0b9d9585b67f23fee64 f40032079e109e126d53f0b9d9585b67f23fee64
